id,date,user_id,year,usa_boulders,name,climb_type
156,967327200,11,2000,V7,Glycerin,1
157,967327200,11,2000,V7,Nitroglycerine,1
158,987372000,11,2001,V6,Babar,1
159,967327200,11,2000,V5,"Bengt Johansson",1
169,962402400,6,2000,V9,"Mr Olympia",1
170,957132000,6,2000,V11,"L'homme Obu",1
171,951865200,6,2000,V10,"Extended World",1
172,959810400,6,2000,V10,"Turbo Guns",1
173,957132000,6,2000,V9,Savage,1
174,957132000,6,2000,V9,"Scrawny & Horny",1
175,946681200,6,2000,V10,"Woolly Jumper",1
176,946681200,6,2000,V11,"The Vineyard",1
177,954540000,6,2000,V10,"Snow Mike",1
178,959810400,6,2000,V10,"Silent Bob",1
179,959810400,6,2000,V9,"Summer Night City",1
180,954540000,6,2000,V9,"Da Lai Lahmung",1
181,962402400,6,2000,V9,Trinity,1
182,951865200,6,2000,V9,"Voodoo Child",1
183,959810400,6,2000,V9,"Fight Club",1
184,969314400,14,2000,V0-,Mjukis,1
313,993938400,2,2001,V4,Crimpface,1
317,946681200,2,2000,V2,Discoduck,1
318,992037600,2,2001,V5,Bandithagen,1
357,917823600,25,1999,V9,Frogger,1
358,917823600,25,1999,V9,"Sex After Death",1
359,915145200,25,1999,V9,Red,1
360,949359600,25,2000,V8,"Better Eat Your Wheaties",1
361,957132000,25,2000,V9,"Blank Generation",1
362,933458400,25,1999,V9,Shazam,1
363,938728800,25,1999,V8,"It's All About Love",1
364,957132000,25,2000,V9,"Crypic Tips",1
365,946681200,25,2000,V8,"Mushroom Roof",1
381,970869600,29,2000,V1,"pedra do urso",1
521,941410800,35,1999,V6,"thing at stagger",1
524,941410800,35,1999,V5,"rt fork thing",1
525,941410800,35,1999,V5,"Bowling Ball",1
526,941410800,35,1999,V5,"ss at warmup",1
527,941410800,35,1999,V5,"thing at stagger",1
557,970783200,26,2000,V11,Carnivor,1
558,967759200,26,2000,V10,???,1
559,962402400,26,2000,V10,"F*** Tart",1
592,958773600,5,2000,V5,"45 Degree Wall",1
593,921366000,5,1999,V8,"Rump to Jump",1
594,950914800,5,2000,V8,"Missing in Action",1
595,959810400,5,2000,V5,"Instant Karma",1
596,946681200,5,2000,V5,"Boxcar Traverse",1
597,957045600,5,2000,V6,"Slick 50",1
598,952297200,5,2000,V5,"Hats Off",1
599,962402400,5,2000,V4,Unknown,1
600,952297200,5,2000,V4,"The Pearl",1
601,957650400,5,2000,V5,"Fat Boy Traverse",1
602,960242400,5,2000,V6,"Due Diligence",1
603,947026800,5,2000,V6,"Reverse Pete's",1
752,943225200,40,1999,V10,"Cave Man",1
753,968536800,40,2000,V10,Krusty,1
754,968536800,40,2000,V9,"extended heart",1
755,968796000,40,2000,V9,"Extreme Cool",1
756,968796000,40,2000,V8,"Rave Heart",1
757,965512800,40,2000,V10,"Jug Thug",1
758,966636000,40,2000,V9,"the virgin buster",1
759,886287600,40,1998,V8,"grand anniolator",1
760,942102000,40,1999,V8,"cardigan st massacre",1
761,915404400,40,1999,V8,"rock rat massacre",1
762,968623200,40,2000,V8,"position impossible",1
763,968364000,40,2000,V6,"sick nutter",1
764,966722400,42,2000,V8,"Die Harder",1
765,966722400,42,2000,V8,"Left Sit to Try Agai",1
766,966722400,42,2000,V8,"Midnight Lichen",1
767,933458400,42,1999,V7,Polypluker,1
768,968709600,42,2000,V7,"Magic Carpet",1
769,946681200,42,2000,V8,"Missing in Action",1
770,966549600,42,2000,V7,"Instant Karma",1
771,883954800,42,1998,V6,"Try Again",1
772,960760800,42,2000,V8,Minimizer,1
773,965080800,42,2000,V7,Unnamed,1
774,949532400,43,2000,V10,"Flying Marcel",1
776,967327200,11,2000,V6,vaselin,1
791,961452000,46,2000,V5,"Multi-Colored Pat...",1
792,946681200,46,2000,V5,"Stoned Danglers",1
793,968191200,46,2000,V6,"Gravimetric Analysis",1
794,959983200,46,2000,V5,"Wild Side",1
795,951865200,46,2000,V6,"Planet Strong",1
796,965858400,46,2000,V6,"Mega Monster",1
797,968277600,46,2000,V5,"Rough Report",1
798,946681200,46,2000,V5,Contortionist,1
799,961452000,46,2000,V6,"Triple A",1
800,961365600,46,2000,V5,"Flake Problem",1
801,956354400,46,2000,V5,"The Groove",1
802,956354400,46,2000,V5,Crypt,1
803,946681200,46,2000,V5,"Super Chicken",1
804,954025200,46,2000,V5,"Kirkatron Classic",1
860,935532000,47,1999,V5,Superfly,1
861,956008800,47,2000,V4,"The Bad",1
862,956008800,47,2000,V3,"The Ugly",1
863,955836000,47,2000,V4,Travers,1
873,955836000,47,2000,V5,"Rock star",1
874,957650400,47,2000,V3,Silverfisken,1
875,957736800,47,2000,V3,"Natural Mystic",1
876,957650400,47,2000,V5,"Power and equality",1
